10:23:05  | phuongaz | /togglep all
03:35:07  | dung137 | /tp idolbminh dung137 
03:36:08  | dung137 | /gamemode 0 idol
03:36:20  | phuongaz | /pvp
03:36:23  | idolbminh | /mw tp pvp
03:36:30  | idolbminh | /mw list
03:36:34  | phuongaz | /deop phuongaz
03:36:43  | dung137 | /pvp
03:37:09  | idolbminh | /tp phuongaz 
03:37:27  | phuongaz | /pvp
03:38:11  | idolbminh | /tp phuongaz 
03:38:30  | phuongaz | /pvp
03:38:39  | phuongaz | /wp unlock
03:39:06  | phuongaz | /wp unlock
03:39:11  | phuongaz | /gmc
03:39:42  | phuongaz | /area flag pvp god on
03:39:47  | dung137 | /gamemode 1
03:40:07  | phuongaz | //id
03:40:13  | phuongaz | //set 236:13
03:40:38  | phuongaz | /gms
03:40:44  | phuongaz | /tp i p
03:41:04  | phuongaz | /gms idolb,inh
03:41:12  | phuongaz | /gamemode idolbminh 0
03:41:21  | phuongaz | /gamemode 0 idol
03:42:14  | phuongaz | /gmc
03:43:02  | phuongaz | //id
03:43:11  | phuongaz | /wp banitem 259
03:43:52  | phuongaz | //id
03:43:55  | phuongaz | //id
03:43:56  | dung137 | /lobby
03:43:58  | phuongaz | //id
03:44:00  | phuongaz | //id
03:44:02  | phuongaz | //id
03:44:16  | phuongaz | /wp banitem 269
03:44:29  | phuongaz | /wp banitem 273
03:44:39  | phuongaz | /wp banitem 256
03:44:45  | phuongaz | /wp banitem 284
03:44:50  | phuongaz | /wp banitem 277
03:44:57  | dung137 | /tp idolbminh dung137 
03:46:21  | idolbminh | /mw ytp pvp
03:46:25  | idolbminh | /mw tp pvp
03:46:31  | idolbminh | /tp phuongaz 
03:46:36  | idolbminh | /mw list
03:47:39  | dung137 | //id
03:48:22  | idolbminh | /pvp
03:48:30  | phuongaz | /setworldspawn
03:50:12  | phuongaz | /wp lock
03:50:19  | phuongaz | /hub
03:52:25  | dung137 | /wp unlock
03:52:37  | phuongaz | //wand
03:53:08  | dung137 | /wp lock
03:53:09  | phuongaz | //id
03:53:28  | phuongaz | //replace 198 2
03:53:38  | phuongaz | /wp lock
03:54:17  | dung137 | /lobby
03:54:41  | idolbminh | /ungeon
03:54:43  | idolbminh | /dungeon
03:55:56  | idolbminh | /ssp
03:57:06  | dung137 | /gamemode 0
03:59:28  | dung137 | /pvp
03:59:41  | dung137 | /gamemode 1
04:00:16  | dung137 | /wp unlock
04:00:27  | dung137 | /wp lock
04:02:20  | dung137 | /lobby
04:04:04  | FunnyGaming1704 | /ssp
04:05:04  | FunnyGaming1704 | /ssp buy
04:05:52  | FunnyGaming1704 | /ssp
04:12:19  | dung137 | /stop
04:16:59  | idolbminh | /mw tp TSH
04:18:06  | FunnyGaming1704 | /ssp buy
04:19:27  | idolbminh | /mw list
04:34:59  | phuongaz | /give phuongaz 218
04:36:05  | phuongaz | /give phuongaz 211
04:37:24  | phuongaz | /give phuongaz 158
04:37:41  | phuongaz | /give phuongaz 23
04:38:11  | phuongaz | //id
04:38:22  | phuongaz | //set 211
04:39:41  | idolbminh | /mw list
04:39:45  | idolbminh | /mw tp tot
